Drug,Country,Total_Observed,Total_Predicted
Ceftazidime_I,India,648,648.0000000000001
Ceftazidime_I,Ireland,278,278.0000000000004
Ceftazidime_I,Israel,862,862.0000000000003
Ceftazidime_I,Italy,3952,3952.000000000023
Ceftazidime_I,Japan,168,168.00000000000028
Ceftazidime_I,Jordan,153,152.9999999999998
Ceftazidime_I,Kenya,107,106.99999999999946
Ceftazidime_I,"Korea, South",800,800
Ceftazidime_I,Kuwait,852,852.0000000000006
Ceftazidime_I,Latvia,175,175.00000000000034
Ceftazidime_I,Lithuania,199,198.99999999999991
Ceftazidime_I,Malaysia,314,313.9999999999988
Ceftazidime_I,Mexico,2056,2055.9999999999955
Ceftazidime_I,Morocco,268,267.99999999999966
Ceftazidime_I,Netherlands,173,173.00000000000122
Ceftazidime_I,Nigeria,397,396.99999999999994
Ceftazidime_I,Pakistan,163,163.0000000000001
Ceftazidime_I,Panama,208,207.99999999999983
Ceftazidime_I,Philippines,926,925.9999999999994
Ceftazidime_I,Poland,762,761.9999999999982
Ceftazidime_I,Portugal,1286,1285.999999999999
Ceftazidime_I,Romania,559,558.9999999999995
Ceftazidime_I,Russia,1915,1914.9999999999927
Ceftazidime_I,Saudi Arabia,116,116.00000000000027
Ceftazidime_I,Serbia,67,67.00000000000009
Ceftazidime_I,Singapore,68,67.99999999999994
Ceftazidime_I,South Africa,673,672.9999999999992
Ceftazidime_I,Spain,2397,2396.999999999991
Ceftazidime_I,Sweden,73,73.00000000000044
Ceftazidime_I,Switzerland,137,136.9999999999999
Ceftazidime_I,Taiwan,791,790.9999999999989
Ceftazidime_I,Thailand,886,885.9999999999989
Ceftazidime_I,Turkey,845,844.9999999999984
Ceftazidime_I,Ukraine,152,152.0000000000005
Ceftazidime_I,United Kingdom,463,463.0000000000004
Ceftazidime_I,United States,3552,3551.9999999999973
Ceftazidime_I,Venezuela,699,699.0000000000024
Ceftazidime_I,Vietnam,61,60.99999999999986
Ceftriaxone_I,Argentina,850,850.0000000000175
Ceftriaxone_I,Australia,234,234.00000000000432
Ceftriaxone_I,Austria,77,77.00000000000176
Ceftriaxone_I,Belgium,971,971.0000000000209
Ceftriaxone_I,Brazil,685,685.0000000000138
Ceftriaxone_I,Canada,378,378.00000000000705
Ceftriaxone_I,Chile,582,582.000000000012
Ceftriaxone_I,China,1783,1783.0000000000366
Ceftriaxone_I,Colombia,472,472.00000000000944
Ceftriaxone_I,Croatia,470,470.0000000000084
Ceftriaxone_I,Czech Republic,501,501.00000000001046
Ceftriaxone_I,Denmark,106,106.00000000000182
Ceftriaxone_I,Finland,54,54.00000000000112
Ceftriaxone_I,France,1942,1942.000000000036
Ceftriaxone_I,Germany,1512,1512.0000000000578
Ceftriaxone_I,Greece,705,705.0000000000141
Ceftriaxone_I,Guatemala,214,214.00000000000367
Ceftriaxone_I,Hong Kong,73,73.00000000000199
Ceftriaxone_I,Hungary,398,398.0000000000079
Ceftriaxone_I,India,266,266.00000000000506
Ceftriaxone_I,Ireland,301,301.0000000000058
Ceftriaxone_I,Israel,303,303.0000000000052
Ceftriaxone_I,Italy,3376,3376.000000000075
Ceftriaxone_I,Japan,142,142.00000000000307
Ceftriaxone_I,Jordan,157,157.00000000000338
Ceftriaxone_I,"Korea, South",519,519.0000000000097
Ceftriaxone_I,Kuwait,396,396.0000000000076
Ceftriaxone_I,Latvia,138,138.00000000000318
Ceftriaxone_I,Lithuania,84,84.00000000000163
Ceftriaxone_I,Malaysia,49,49.00000000000067
Ceftriaxone_I,Mexico,1187,1187.0000000000216
Ceftriaxone_I,Morocco,144,144.00000000000313
Ceftriaxone_I,Netherlands,138,138.00000000000242
Ceftriaxone_I,Pakistan,255,255.00000000000543
Ceftriaxone_I,Panama,185,185.00000000000324
Ceftriaxone_I,Philippines,534,534.0000000000102
Ceftriaxone_I,Poland,370,370.0000000000065
Ceftriaxone_I,Portugal,802,802.0000000000172
Ceftriaxone_I,Romania,145,145.00000000000293
Ceftriaxone_I,Russia,478,478.00000000001046
Ceftriaxone_I,Saudi Arabia,89,89.00000000000233
Ceftriaxone_I,Serbia,67,67.00000000000169
Ceftriaxone_I,Singapore,66,66.00000000000135
Ceftriaxone_I,South Africa,441,441.00000000000784
Ceftriaxone_I,Spain,2219,2219.000000000034
Ceftriaxone_I,Sweden,54,54.00000000000102
Ceftriaxone_I,Switzerland,168,168.00000000000497
Ceftriaxone_I,Taiwan,449,449.00000000000847
Ceftriaxone_I,Thailand,465,465.00000000000915
Ceftriaxone_I,Turkey,440,440.0000000000094
Ceftriaxone_I,United Kingdom,386,386.00000000000796
Ceftriaxone_I,United States,3942,3942.0000000000846
Ceftriaxone_I,Venezuela,410,410.00000000000733
Ceftriaxone_I,Vietnam,64,64.00000000000159
Clindamycin_I,Argentina,194,193.99999999999923
Clindamycin_I,Australia,284,283.99999999999926
Clindamycin_I,Austria,226,225.99999999999923
Clindamycin_I,Belgium,763,762.9999999999948
Clindamycin_I,Brazil,348,347.99999999999756
Clindamycin_I,Canada,130,129.99999999999946
Clindamycin_I,Chile,632,631.9999999999976
Clindamycin_I,China,1988,1987.9999999999911
Clindamycin_I,Colombia,157,156.99999999999957
Clindamycin_I,Costa Rica,23,22.999999999999936
Clindamycin_I,Croatia,48,47.999999999999794
Clindamycin_I,Czech Republic,856,855.9999999999961
Clindamycin_I,Denmark,203,202.9999999999993
Clindamycin_I,Dominican Republic,7,6.999999999999959
Clindamycin_I,Finland,3,2.9999999999999853
Clindamycin_I,France,1071,1070.9999999999968
Clindamycin_I,Germany,1398,1397.999999999998
Clindamycin_I,Greece,666,665.9999999999992
Clindamycin_I,Guatemala,64,63.999999999999794
Clindamycin_I,Hong Kong,112,111.99999999999953
Clindamycin_I,Hungary,979,978.9999999999992
Clindamycin_I,India,3,2.999999999999977
Clindamycin_I,Ireland,69,68.99999999999977
Clindamycin_I,Israel,542,541.999999999999
Clindamycin_I,Italy,619,618.9999999999953
Clindamycin_I,Japan,466,465.9999999999985
Clindamycin_I,Jordan,18,17.99999999999991
Clindamycin_I,Kenya,35,34.99999999999987
Clindamycin_I,"Korea, South",863,862.9999999999941
Clindamycin_I,Kuwait,511,510.99999999999926
Clindamycin_I,Latvia,14,13.999999999999948
Clindamycin_I,Lithuania,11,10.999999999999982
Clindamycin_I,Malaysia,128,127.99999999999953
Clindamycin_I,Mexico,1022,1021.9999999999968
Clindamycin_I,Morocco,3,2.9999999999999716
Clindamycin_I,Netherlands,78,77.9999999999997
Clindamycin_I,Nigeria,13,12.999999999999865
Clindamycin_I,Pakistan,11,10.999999999999943
Clindamycin_I,Panama,26,25.999999999999876
Clindamycin_I,Philippines,358,357.9999999999991
Clindamycin_I,Poland,463,462.99999999999807
Clindamycin_I,Portugal,306,305.9999999999989
Clindamycin_I,Romania,77,76.99999999999969
Clindamycin_I,Russia,533,532.9999999999978
Clindamycin_I,Saudi Arabia,9,8.99999999999993
Clindamycin_I,Serbia,5,4.9999999999999805
Clindamycin_I,Singapore,14,13.999999999999954
Clindamycin_I,South Africa,357,356.99999999999847
Clindamycin_I,Spain,1013,1012.9999999999964
Clindamycin_I,Sweden,70,69.99999999999983
Clindamycin_I,Switzerland,27,26.999999999999943
Clindamycin_I,Taiwan,1013,1012.9999999999965
